"GeneID","GeneName","P_Flare","Log2FC_Y_VS_N"
"ENSG00000000419","DPM1",0.242214687,-0.040831505
"ENSG00000000457","SCYL3",0.867488536,-0.003727037
"ENSG00000000460","C1orf112",0.967551289,0.000584251
"ENSG00000000938","FGR",0.571100271,0.043581876
"ENSG00000000971","CFH",0.100348106,-0.195459477
"ENSG00000001036","FUCA2",0.113488273,-0.046947605
"ENSG00000001084","GCLC",0.880819717,0.057791351
"ENSG00000001167","NFYA",0.904740207,-0.003353137
"ENSG00000001460","STPG1",0.35397957,0.036701792
"ENSG00000001461","NIPAL3",0.201380803,0.044904383
"ENSG00000001497","LAS1L",0.533840358,0.021172244
"ENSG00000001561","ENPP4",0.865524446,0.04109375
"ENSG00000001629","ANKIB1",0.457681129,-0.024919131
"ENSG00000001630","CYP51A1",0.17780979,-0.058705308
"ENSG00000001631","KRIT1",0.417873484,-0.03141917
"ENSG00000002016","RAD52",0.569625183,-0.012853308
"ENSG00000002330","BAD",0.794855535,0.008880007
"ENSG00000002549","LAP3",0.651538541,-0.026672032
"ENSG00000002587","HS3ST1",0.645843994,-0.015579654
"ENSG00000002745","WNT16",0.829411782,-0.032700121
"ENSG00000002822","MAD1L1",0.254185862,0.042812166
"ENSG00000002834","LASP1",0.223136014,0.074546446
"ENSG00000002919","SNX11",0.64502541,0.022104412
"ENSG00000002933","TMEM176A",0.536727135,0.151250955
"ENSG00000003056","M6PR",0.476288372,-0.013585428
"ENSG00000003147","ICA1",0.120087089,-0.096935806
"ENSG00000003249","DBNDD1",0.823458148,-0.021360792
"ENSG00000003393","ALS2",0.591473104,-0.019884022
"ENSG00000003400","CASP10",0.707238009,-0.008716768
"ENSG00000003402","CFLAR",0.806755428,0.014491533
"ENSG00000003436","TFPI",0.576336684,-0.028517568
"ENSG00000003509","NDUFAF7",0.263430264,-0.04667656
"ENSG00000003756","RBM5",0.788533473,-0.00551795
"ENSG00000003987","MTMR7",0.77105247,-0.014507423
"ENSG00000004059","ARF5",0.704555535,-0.014214554
"ENSG00000004139","SARM1",0.119855486,0.056294909
"ENSG00000004142","POLDIP2",0.233218554,0.053956284
"ENSG00000004399","PLXND1",0.439395299,0.056927118
"ENSG00000004455","AK2",0.722308841,0.005217337
"ENSG00000004468","CD38",0.762558169,-0.020004404
"ENSG00000004478","FKBP4",0.276982728,0.040220743
"ENSG00000004487","KDM1A",0.955866626,0.001318657
"ENSG00000004534","RBM6",0.514674661,0.01356613
"ENSG00000004660","CAMKK1",0.99990345,0.004653131
"ENSG00000004700","RECQL",0.394337275,-0.060364598
"ENSG00000004766","VPS50",0.477892822,-0.050926255
"ENSG00000004777","ARHGAP33",0.066828642,0.102417219
"ENSG00000004779","NDUFAB1",0.441469644,-0.02477828
"ENSG00000004799","PDK4",0.299172835,0.087356661
"ENSG00000004809","SLC22A16",0.365188432,-0.067500661
"ENSG00000004838","ZMYND10",0.8248235,-0.011926529
"ENSG00000004864","SLC25A13",0.001595052,-0.090172584
"ENSG00000004866","ST7",0.945876151,0.011530439
"ENSG00000004897","CDC27",0.951452905,0.044956423
"ENSG00000004939","SLC4A1",0.433576943,0.253482675
"ENSG00000004961","HCCS",0.805232549,0.018914062
"ENSG00000004975","DVL2",0.683037595,0.011154504
"ENSG00000005007","UPF1",0.77626322,0.017819273
"ENSG00000005020","SKAP2",0.340395654,-0.074400617
"ENSG00000005022","SLC25A5",0.980265184,-0.000149886
"ENSG00000005059","MCUB",0.846469048,-0.009669554
"ENSG00000005075","POLR2J",0.354938772,0.063495949
"ENSG00000005100","DHX33",0.933462582,0.002842144
"ENSG00000005102","MEOX1",0.536985966,0.06673697
"ENSG00000005156","LIG3",0.65076734,0.009488014
"ENSG00000005175","RPAP3",0.25362174,-0.059406715
"ENSG00000005187","ACSM3",0.672965597,-0.044283661
"ENSG00000005189","REXO5",0.858905261,-0.010042525
"ENSG00000005194","CIAPIN1",0.457383099,0.017117675
"ENSG00000005206","SPPL2B",0.54486513,0.020736387
"ENSG00000005238","FAM214B",0.439358757,0.057140321
"ENSG00000005243","COPZ2",0.737615709,0.026593508
"ENSG00000005249","PRKAR2B",0.310504855,-0.077439314
"ENSG00000005302","MSL3",0.6447809,0.020303921
"ENSG00000005339","CREBBP",0.222957489,0.081548495
"ENSG00000005379","TSPOAP1",0.62868945,0.031053164
"ENSG00000005381","MPO",0.290925626,-0.283590669
"ENSG00000005436","GCFC2",0.93056474,-0.006460101
"ENSG00000005448","WDR54",0.410363871,0.040275519
"ENSG00000005469","CROT",0.597780951,-0.031285394
"ENSG00000005471","ABCB4",0.666745358,0.06406646
"ENSG00000005483","KMT2E",0.899585076,-0.003025388
"ENSG00000005486","RHBDD2",0.38964289,0.029685852
"ENSG00000005513","SOX8",0.816884832,0.007315332
"ENSG00000005700","IBTK",0.333599253,-0.050303993
"ENSG00000005801","ZNF195",0.715809631,-0.016694671
"ENSG00000005810","MYCBP2",0.318843952,-0.027604345
"ENSG00000005812","FBXL3",0.357400309,-0.037788488
"ENSG00000005844","ITGAL",0.420475298,0.040830869
"ENSG00000005882","PDK2",0.258193961,0.086967031
"ENSG00000005884","ITGA3",0.214688625,0.08070535
"ENSG00000005889","ZFX",0.591527237,-0.013860641
"ENSG00000005893","LAMP2",0.815058972,-0.016393807
"ENSG00000005961","ITGA2B",0.343834962,-0.120752594
"ENSG00000006007","GDE1",0.708395358,0.042095172
"ENSG00000006015","REX1BD",0.568387896,0.014615757
"ENSG00000006016","CRLF1",0.998732318,0.01220469
"ENSG00000006025","OSBPL7",0.163290026,0.067420041
"ENSG00000006062","MAP3K14",0.110312941,0.042806723
"ENSG00000006118","TMEM132A",0.994886358,-0.001608277
"ENSG00000006125","AP2B1",0.886731875,-0.000570136
"ENSG00000006194","ZNF263",0.89213436,-0.003695508
"ENSG00000006282","SPATA20",0.614915295,0.039971738
"ENSG00000006327","TNFRSF12A",0.503714199,-0.061928555
"ENSG00000006432","MAP3K9",0.200634787,0.070766069
"ENSG00000006451","RALA",0.515336168,-0.026197203
"ENSG00000006453","BAIAP2L1",0.34624951,0.048405557
"ENSG00000006459","KDM7A",0.691245293,-0.012184495
"ENSG00000006530","AGK",0.810508274,0.01007166
"ENSG00000006534","ALDH3B1",0.672247365,0.031247793
"ENSG00000006555","TTC22",0.365436358,0.040197601
"ENSG00000006576","PHTF2",0.401720376,-0.050166683
"ENSG00000006607","FARP2",0.932156423,-0.003374956
"ENSG00000006625","GGCT",0.772116263,-0.017020118
"ENSG00000006634","DBF4",0.816502306,0.012248047
"ENSG00000006638","TBXA2R",0.013618182,0.062459037
"ENSG00000006652","IFRD1",0.504454637,-0.050294342
"ENSG00000006695","COX10",0.722873655,0.009551418
"ENSG00000006712","PAF1",0.031905475,0.081476811
"ENSG00000006715","VPS41",0.389180698,-0.021622657
"ENSG00000006740","ARHGAP44",0.852758739,0.245996338
"ENSG00000006744","ELAC2",0.473881526,0.018248777
"ENSG00000006756","ARSD",0.704388178,-0.018232333
"ENSG00000006757","PNPLA4",0.649464319,-0.023910355
"ENSG00000006831","ADIPOR2",0.782346006,0.007625947
"ENSG00000006837","CDKL3",0.666162716,-0.033765814
"ENSG00000007047","MARK4",0.079904159,0.0680157
"ENSG00000007062","PROM1",0.962714987,0.007653714
"ENSG00000007080","CCDC124",0.266434802,0.111877734
"ENSG00000007129","CEACAM21",0.885538167,0.00526118
"ENSG00000007168","PAFAH1B1",0.154534299,-0.02529112
"ENSG00000007202","KIAA0100",0.439458917,0.023210879
"ENSG00000007237","GAS7",0.687768719,-0.032302021
"ENSG00000007255","TRAPPC6A",0.387794101,-0.035126871
"ENSG00000007264","MATK",0.433992602,0.0587339
"ENSG00000007312","CD79B",0.647082129,0.014874411
"ENSG00000007341","ST7L",0.190074577,-0.033970175
"ENSG00000007350","TKTL1",0.227407924,0.189463387
"ENSG00000007372","PAX6",0.819529097,-0.010330069
"ENSG00000007376","RPUSD1",0.949147627,0.002119592
"ENSG00000007392","LUC7L",0.990090654,1.81e-05
"ENSG00000007402","CACNA2D2",0.293891731,0.085419547
"ENSG00000007516","BAIAP3",0.971599925,-0.007135816
"ENSG00000007520","TSR3",0.485771123,-0.020668566
"ENSG00000007541","PIGQ",0.297929785,0.049748188
"ENSG00000007545","CRAMP1",0.530079304,0.020728042
"ENSG00000007923","DNAJC11",0.351568661,0.027576334
"ENSG00000007944","MYLIP",0.661417127,0.027158126
"ENSG00000007968","E2F2",0.642474003,0.112358166
"ENSG00000008018","PSMB1",0.054512493,-0.059788908
"ENSG00000008056","SYN1",0.442294187,0.058280992
"ENSG00000008083","JARID2",0.795097111,0.015082755
"ENSG00000008086","CDKL5",0.743374971,-0.02184305
"ENSG00000008128","CDK11A",0.383137538,-0.048196387
"ENSG00000008130","NADK",0.49700942,0.060496599
"ENSG00000008226","DLEC1",0.567138999,-0.016157692
"ENSG00000008256","CYTH3",0.181458431,0.056576817
"ENSG00000008277","ADAM22",0.239243129,0.06655624
"ENSG00000008282","SYPL1",0.398063428,-0.042229395
"ENSG00000008283","CYB561",0.486893961,0.038620136
"ENSG00000008294","SPAG9",0.378812314,-0.046629926
"ENSG00000008300","CELSR3",0.901244011,0.011586205
"ENSG00000008311","AASS",0.335263924,-0.091460947
"ENSG00000008323","PLEKHG6",0.79200043,0.012047651
"ENSG00000008324","SS18L2",0.497695408,-0.030194665
"ENSG00000008382","MPND",0.533814641,0.018313456
"ENSG00000008394","MGST1",0.071628627,-0.139173556
"ENSG00000008405","CRY1",0.286518845,0.043708633
"ENSG00000008438","PGLYRP1",0.508705267,-0.044265164
"ENSG00000008441","NFIX",0.237266903,0.274475896
"ENSG00000008513","ST3GAL1",0.393802798,0.036393919
"ENSG00000008516","MMP25",0.443959221,0.081199868
"ENSG00000008517","IL32",0.525730148,0.041898056
"ENSG00000008710","PKD1",0.102732989,0.070507626
"ENSG00000008838","MED24",0.248373504,0.042803582
"ENSG00000008853","RHOBTB2",0.067705114,0.057816752
"ENSG00000008869","HEATR5B",0.618907046,-0.01262088
"ENSG00000008952","SEC62",0.459593467,0.03653018
"ENSG00000008988","RPS20",0.238186148,-0.095255339
"ENSG00000009307","CSDE1",0.918128136,0.044306844
"ENSG00000009335","UBE3C",0.879263287,0.002940402
"ENSG00000009413","REV3L",0.308301416,-0.034168222
"ENSG00000009694","TENM1",0.69186276,0.038286944
"ENSG00000009724","MASP2",0.923290974,-0.001212124
"ENSG00000009780","FAM76A",0.261934349,-0.030461054
"ENSG00000009790","TRAF3IP3",0.341560145,0.024004787
"ENSG00000009830","POMT2",0.146968704,0.044274646
"ENSG00000009844","VTA1",0.499190627,-0.030559811
"ENSG00000009954","BAZ1B",0.551079235,-0.019439516
"ENSG00000010017","RANBP9",0.89197264,0.002484193
"ENSG00000010030","ETV7",0.895448181,0.071746146
"ENSG00000010072","SPRTN",0.529381375,-0.016671534
"ENSG00000010165","EEF1AKNMT",0.292745172,0.028076984
"ENSG00000010219","DYRK4",0.807536014,0.005927774
"ENSG00000010244","ZNF207",0.21282924,-0.030445502
"ENSG00000010256","UQCRC1",0.651162338,0.01725418
"ENSG00000010270","STARD3NL",0.062577771,-0.067226951
"ENSG00000010278","CD9",0.712012598,-0.030821633
"ENSG00000010292","NCAPD2",0.365172085,0.033132721
"ENSG00000010295","IFFO1",0.865072034,-0.005263494
"ENSG00000010310","GIPR",0.458636548,0.044760824
"ENSG00000010318","PHF7",0.812694269,0.002785508
"ENSG00000010322","NISCH",0.138890819,0.0382206
"ENSG00000010327","STAB1",0.631673331,-0.029872642
"ENSG00000010361","FUZ",0.515694542,0.072164885
"ENSG00000010404","IDS",0.918199977,0.004280735
"ENSG00000010539","ZNF200",0.945316107,0.001073047
"ENSG00000010610","CD4",0.31869783,0.04931821
"ENSG00000010626","LRRC23",0.455463184,0.030018523
"ENSG00000010671","BTK",0.672410761,-0.018349262
"ENSG00000010704","HFE",0.626086913,0.036041797
"ENSG00000010803","SCMH1",0.785998349,-0.007562886
"ENSG00000010810","FYN",0.407793567,0.026471994
"ENSG00000010818","HIVEP2",0.113706717,0.050274996
"ENSG00000011007","ELOA",0.869136088,0.001743176
"ENSG00000011009","LYPLA2",0.360288381,0.030036085
"ENSG00000011021","CLCN6",0.491292853,0.02897948
"ENSG00000011028","MRC2",0.49905043,0.067286533
"ENSG00000011052","NME1-NME2",0.391878492,-0.04144385
"ENSG00000011105","TSPAN9",0.611749622,-0.038809752
"ENSG00000011114","BTBD7",0.623309984,-0.00900311
"ENSG00000011132","APBA3",0.082147129,0.051776628
"ENSG00000011143","MKS1",0.262460369,0.043039146
"ENSG00000011198","ABHD5",0.565994321,-0.051313271
"ENSG00000011243","AKAP8L",0.12389756,0.059124028
"ENSG00000011258","MBTD1",0.308134709,-0.029545985
"ENSG00000011260","UTP18",0.686604296,-0.015839396
"ENSG00000011275","RNF216",0.939649443,0.001993733
"ENSG00000011295","TTC19",0.856544121,0.006284643
"ENSG00000011304","PTBP1",0.237684284,0.03596979
"ENSG00000011376","LARS2",0.654340078,0.012327879
"ENSG00000011405","PIK3C2A",0.156471306,-0.054788631
"ENSG00000011422","PLAUR",0.7025364,0.041441715
"ENSG00000011426","ANLN",0.56196461,-0.044365691
"ENSG00000011451","WIZ",0.085483294,0.064613211
"ENSG00000011454","RABGAP1",0.120303181,-0.030308858
"ENSG00000011478","QPCTL",0.184351641,0.055566084
"ENSG00000011485","PPP5C",0.823861758,-0.009438097
"ENSG00000011523","CEP68",0.893775326,-0.002705201
"ENSG00000011566","MAP4K3",0.402517759,-0.04664653
"ENSG00000011590","ZBTB32",0.09521051,0.102775736
"ENSG00000011600","TYROBP",0.807684621,0.01622474
"ENSG00000011638","TMEM159",0.859886757,0.007946986
"ENSG00000012048","BRCA1",0.367530253,-0.043942137
"ENSG00000012061","ERCC1",0.357438496,0.0229145
