GeneID,GeneName,Log2FC_Y_VS_N
ENSG00000115155,OTOF,1.132424812
ENSG00000164237,CMBL,0.949922714
ENSG00000230202,AL450405.1,0.907319901
ENSG00000243466,IGKV1-5,0.895558804
ENSG00000211651,IGLV1-44,0.845725364
ENSG00000076864,RAP1GAP,0.722545794
ENSG00000244575,IGKV1-27,0.655011987
ENSG00000211895,IGHA1,0.648763956
ENSG00000211648,IGLV1-47,0.613917924
ENSG00000211675,IGLC1,0.584927534
ENSG00000211595,IGKJ3,0.581129993
ENSG00000211662,IGLV3-21,0.570180968
ENSG00000125740,FOSB,0.557173729
ENSG00000211896,IGHG1,0.547480408
ENSG00000254709,IGLL5,0.544896567
ENSG00000235169,SMIM1,0.528010217
ENSG00000154262,ABCA6,0.518538762
ENSG00000225231,LINC02470,0.506884672
ENSG00000211653,IGLV1-40,0.506816865
ENSG00000278791,AC114498.2,0.495962583
ENSG00000241755,IGKV1-9,0.49039359
ENSG00000211897,IGHG3,0.487836658
ENSG00000088827,SIGLEC1,0.481134291
ENSG00000185736,ADARB2,0.478664306
ENSG00000242371,IGKV1-39,0.477304653
ENSG00000211592,IGKC,0.469808184
ENSG00000211674,IGLJ1,0.464414982
ENSG00000211893,IGHG2,0.461563229
ENSG00000211677,IGLC2,0.450462242
ENSG00000189221,MAOA,0.441091221
ENSG00000211597,IGKJ1,0.44092006
ENSG00000120738,EGR1,0.436152152
ENSG00000211934,IGHV1-2,0.427677343
ENSG00000132465,JCHAIN,0.423000509
ENSG00000211659,IGLV3-25,0.411613004
ENSG00000109684,CLNK,0.41122085
ENSG00000240864,IGKV1-16,0.408105355
ENSG00000173801,JUP,0.403542155
ENSG00000211892,IGHG4,0.401223903
ENSG00000211937,IGHV2-5,0.400092607
ENSG00000290727,,0.399968413
ENSG00000130202,NECTIN2,0.398833512
ENSG00000167992,VWCE,0.396310968
ENSG00000270550,IGHV3-30,0.395395212
ENSG00000204936,CD177,0.394023147
ENSG00000089169,RPH3A,0.384928891
