GeneID,GeneName,P_Flare
ENSG00000226571,AL592429.2,0.0
ENSG00000230202,AL450405.1,0.0
ENSG00000130202,NECTIN2,1.188647104e-313
ENSG00000286830,AC105052.5,1.09e-162
ENSG00000162383,SLC1A7,3.04e-150
ENSG00000167034,NKX3-1,9.53e-118
ENSG00000230021,AL669831.3,1.77e-104
ENSG00000232573,RPL3P4,6.03e-86
ENSG00000211804,TRDV1,7.02e-75
ENSG00000132464,ENAM,2.09e-61
ENSG00000246363,LINC02458,2.33e-58
ENSG00000173369,C1QB,2.25e-56
ENSG00000228835,AC012123.1,5.32e-53
ENSG00000109099,PMP22,8.15e-45
ENSG00000204296,TSBP1,5.12e-44
ENSG00000270025,BMS1P7,2.36e-43
ENSG00000178538,CA8,5.97e-43
ENSG00000092068,SLC7A8,6.0099999999999995e-40
ENSG00000205517,RGL3,1.14e-36
ENSG00000102230,PCYT1B,2.79e-36
ENSG00000287632,AC112253.1,7.670000000000001e-35
ENSG00000290010,,1.27e-30
ENSG00000198744,MTCO3P12,3.81e-28
ENSG00000179044,EXOC3L1,5.94e-28
ENSG00000213866,YBX1P10,1.32e-27
ENSG00000211648,IGLV1-47,6.2100000000000006e-27
ENSG00000181126,HLA-V,9.860000000000001e-26
ENSG00000285797,AL512658.2,2.6300000000000002e-21
ENSG00000289514,,2.02e-18
ENSG00000264764,MIR4772,7.2e-18
ENSG00000102174,PHEX,2.32e-16
ENSG00000225231,LINC02470,5.42e-15
ENSG00000125355,TMEM255A,1.17e-14
ENSG00000229142,HCG4P8,1.22e-14
ENSG00000287670,AC108479.1,2.15e-14
ENSG00000236521,NPAP1P4,1.36e-13
ENSG00000175164,ABO,2.68e-13
ENSG00000250349,AF241726.1,2.89e-13
ENSG00000120738,EGR1,7.27e-13
ENSG00000257452,AC004551.1,1.17e-12
ENSG00000168878,SFTPB,3.36e-12
ENSG00000166831,RBPMS2,6.98e-12
ENSG00000167992,VWCE,2.78e-11
ENSG00000278917,AC006213.6,3.2e-11
ENSG00000104728,ARHGEF10,7.44e-11
ENSG00000223750,SIRPB3P,9.3e-10
ENSG00000189127,ANKRD34B,3.41e-09
ENSG00000188820,CALHM6,9.25e-09
ENSG00000224203,RPS23P10,1.58e-08
ENSG00000223935,LGALSL-DT,1.88e-08
ENSG00000164047,CAMP,2.77e-08
ENSG00000224858,RPL29P11,3.13e-08
ENSG00000229664,AL137186.1,4.26e-08
ENSG00000215386,MIR99AHG,5.66e-08
ENSG00000211662,IGLV3-21,5.85e-08
ENSG00000286463,AP002755.1,7.21e-07
ENSG00000211679,IGLC3,1.04e-06
ENSG00000272699,AC007620.3,1.04e-06
ENSG00000169047,IRS1,2.4e-06
ENSG00000242992,FTH1P4,2.71e-06
ENSG00000238025,ZDHHC4P1,4.41e-06
ENSG00000211896,IGHG1,5.3e-06
ENSG00000169902,TPST1,7.82e-06
ENSG00000165626,BEND7,8.69e-06
ENSG00000239246,AC008026.1,1.18e-05
ENSG00000289361,,1.21e-05
ENSG00000137812,KNL1,1.56e-05
ENSG00000290797,,1.87e-05
ENSG00000280121,AC010335.3,2.49e-05
ENSG00000262999,AC099489.3,2.49e-05
ENSG00000286579,AC023483.1,2.55e-05
ENSG00000235621,LINC00494,3.05e-05
ENSG00000204851,PNMA8B,3.12e-05
ENSG00000100985,MMP9,3.32e-05
ENSG00000228541,AC093159.1,3.92e-05
ENSG00000164051,CCDC51,7.57e-05
ENSG00000283791,MIR612,0.00011903
ENSG00000133063,CHIT1,0.00018361
ENSG00000124882,EREG,0.000210885
ENSG00000162512,SDC3,0.000234822
ENSG00000166123,GPT2,0.000279531
ENSG00000104522,GFUS,0.000328021
ENSG00000275527,AC100835.2,0.000440981
ENSG00000290834,,0.000651904
ENSG00000118276,B4GALT6,0.000853358
ENSG00000270164,LINC01480,0.00091522
ENSG00000237786,GFOD1-AS1,0.000975742
ENSG00000092621,PHGDH,0.001260939
ENSG00000134489,HRH4,0.001271941
ENSG00000211895,IGHA1,0.001473668
ENSG00000004864,SLC25A13,0.001595052
ENSG00000141837,CACNA1A,0.001728501
ENSG00000166126,AMN,0.001931953
ENSG00000263563,UBBP4,0.002019013
ENSG00000136960,ENPP2,0.002020282
ENSG00000184716,SERINC4,0.002172665
ENSG00000184005,ST6GALNAC3,0.002186612
ENSG00000222020,HDAC4-AS1,0.002307069
ENSG00000125531,FNDC11,0.002340373
ENSG00000130751,NPAS1,0.002476275
ENSG00000290441,,0.002527288
ENSG00000261474,AC026471.4,0.002690922
ENSG00000287860,AC079804.3,0.00271775
ENSG00000111684,LPCAT3,0.002742387
ENSG00000254709,IGLL5,0.002790147
ENSG00000282320,TRBJ1-1,0.003156807
ENSG00000274420,AC026318.1,0.003207709
ENSG00000291208,,0.003264472
ENSG00000120057,SFRP5,0.003439904
ENSG00000196188,CTSE,0.003716803
ENSG00000273387,AC005005.3,0.003988695
ENSG00000180878,C11orf42,0.003999474
ENSG00000232824,PRR13P1,0.004007461
ENSG00000250764,AC025178.1,0.004024428
ENSG00000228604,AL121759.1,0.004104946
ENSG00000211653,IGLV1-40,0.004155589
ENSG00000178809,TRIM73,0.004194087
ENSG00000238039,AC244197.2,0.004285887
ENSG00000262560,AC018512.1,0.004326893
ENSG00000211937,IGHV2-5,0.004331086
ENSG00000251023,AC114980.1,0.00441077
ENSG00000044459,CNTLN,0.004442351
ENSG00000136636,KCTD3,0.004467194
ENSG00000282420,TRBJ1-2,0.004517661
ENSG00000291046,,0.004584464
ENSG00000240864,IGKV1-16,0.004593998
ENSG00000153113,CAST,0.004803905
ENSG00000121766,ZCCHC17,0.004830702
ENSG00000257764,AC020656.1,0.004955955
ENSG00000238231,AL512288.2,0.005128742
ENSG00000163453,IGFBP7,0.005263511
ENSG00000243989,ACY1,0.005361243
ENSG00000185085,INTS5,0.005365109
ENSG00000125740,FOSB,0.005371084
ENSG00000268799,H3Y2,0.005401978
ENSG00000163597,SNHG16,0.005469358
ENSG00000149679,CABLES2,0.005510035
ENSG00000254765,AC011092.1,0.005613185
ENSG00000105492,SIGLEC6,0.005715033
ENSG00000185619,PCGF3,0.005766624
ENSG00000213626,LBH,0.005957819
ENSG00000225284,AC018693.1,0.005958563
ENSG00000247903,AC024896.1,0.006045344
ENSG00000173040,EVC2,0.006069654
ENSG00000278535,DHRS11,0.006151853
ENSG00000156990,RPUSD3,0.00615675
ENSG00000284190,MIR21,0.006234966
ENSG00000227536,SOCS5P4,0.006274749
ENSG00000168172,HOOK3,0.006426122
ENSG00000228486,C2orf92,0.00643661
ENSG00000228672,PROB1,0.006557188
ENSG00000154134,ROBO3,0.00656086
ENSG00000291315,,0.006685205
ENSG00000211592,IGKC,0.006703786
ENSG00000104043,ATP8B4,0.006833225
ENSG00000175592,FOSL1,0.006873326
ENSG00000233024,NPIPA9,0.007032959
ENSG00000187536,TPM3P7,0.007059382
ENSG00000240041,IGHJ4,0.007423764
ENSG00000211674,IGLJ1,0.007490545
ENSG00000252414,RNU6-100P,0.007581162
ENSG00000188706,ZDHHC9,0.007607519
ENSG00000149489,ROM1,0.007950634
ENSG00000211893,IGHG2,0.008011664
ENSG00000104936,DMPK,0.008038106
ENSG00000244437,IGKV3-15,0.008054009
ENSG00000075886,TUBA3D,0.008407391
ENSG00000283803,MIR3198-2,0.008413968
ENSG00000127399,LRRC61,0.008508647
ENSG00000119227,PIGZ,0.008522558
ENSG00000204388,HSPA1B,0.008567716
ENSG00000269845,CCNYL6,0.008669044
ENSG00000065268,WDR18,0.008689871
ENSG00000250615,AC008581.1,0.008764392
ENSG00000227348,MTND5P25,0.008882624
ENSG00000204314,PRRT1,0.008920563
ENSG00000242371,IGKV1-39,0.008930162
ENSG00000112640,PPP2R5D,0.008938223
ENSG00000199133,MIRLET7D,0.008941995
ENSG00000284425,MIR8072,0.00894887
ENSG00000090382,LYZ,0.009250194
ENSG00000211675,IGLC1,0.009288787
ENSG00000279069,AC015813.5,0.0093394
ENSG00000211966,IGHV5-51,0.00937933
ENSG00000214826,DDX12P,0.009956636
ENSG00000196371,FUT4,0.010008716
ENSG00000102302,FGD1,0.010040868
ENSG00000229739,PDC-AS1,0.010462431
ENSG00000259083,AL132639.3,0.010702733
ENSG00000229044,AL451070.1,0.010712743
ENSG00000250030,AC104806.1,0.010817792
ENSG00000161513,FDXR,0.010905017
ENSG00000284968,AC093827.4,0.010922759
ENSG00000283629,AC016526.4,0.010981213
ENSG00000186470,BTN3A2,0.011002508
ENSG00000183734,ASCL2,0.011072886
ENSG00000177535,OR2B11,0.01113247
ENSG00000198715,GLMP,0.011133697
ENSG00000130311,DDA1,0.011143503
ENSG00000160766,GBAP1,0.011179569
ENSG00000249353,NPM1P27,0.01126814
ENSG00000173480,ZNF417,0.011487616
ENSG00000179630,LACC1,0.01162217
ENSG00000239951,IGKV3-20,0.011630167
ENSG00000279794,AC024580.1,0.011653809
ENSG00000211751,TRBC1,0.011706249
ENSG00000166105,GLB1L3,0.011731295
ENSG00000138073,PREB,0.011792998
ENSG00000117408,IPO13,0.01183997
ENSG00000275881,Metazoa_SRP,0.011904333
ENSG00000269296,AC005614.1,0.012141006
ENSG00000203761,MSTO2P,0.012250985
ENSG00000231187,AL356056.2,0.012291591
ENSG00000156853,ZNF689,0.012342196
ENSG00000226706,AL161452.1,0.012360136
ENSG00000289177,,0.012396593
ENSG00000259351,AC015914.1,0.012433297
ENSG00000063180,CA11,0.012615762
ENSG00000240974,RPS27AP10,0.01261993
ENSG00000214174,AMZ2P1,0.012734796
ENSG00000157306,ZFHX2-AS1,0.012820119
ENSG00000130706,ADRM1,0.012997412
ENSG00000186891,TNFRSF18,0.013098755
ENSG00000187164,SHTN1,0.013100418
ENSG00000197813,AC011450.1,0.013257663
ENSG00000244575,IGKV1-27,0.013269329
ENSG00000267395,DM1-AS,0.013370411
ENSG00000126749,EMG1,0.013469536
